(cyclingPowerSensor,CyclingPowerSensorGetter)
(cyclingSpeedCadenceSensor,CyclingSpeedCadenceSensorGetter)
(cyclingSpeedSensor,CyclingSpeedSensorGetter)
(digitalPen,DigitalPenGetter)
(digitizerTablet,DigitizerTabletGetter)
(gamepad,GamepadGetter)
(generic,GenericGetter)
(heartRateBelt,HeartRateBeltGetter)
(joystick,JoystickGetter)
(keyboard,KeyboardGetter)
(locationDisplay,LocationDisplayGetter)
(locationNavigationDisplay,LocationNavigationDisplayGetter)
(locationNavigationPod,LocationNavigationPodGetter)
(locationPod,LocationPodGetter)
(mouse,MouseGetter)
(oximeterFingertip,OximeterFingertipGetter)
(oximeterWristWorn,OximeterWristWornGetter)
(runningWalkingInShoe,RunningWalkingInShoeGetter)
(runningWalkingOnHip,RunningWalkingOnHipGetter)
(runningWalkingOnShoe,RunningWalkingOnShoeGetter)
(sportsWatch,SportsWatchGetter)
(thermometerEar,ThermometerEarGetter)
(category,CategoryGetter)
(subCategory,SubCategoryGetter)
(getGattService,GetGattService)
(getGattServicesAsync,GetGattServicesAsync)
(getGattServicesForUuidAsync,GetGattServicesForUuidAsync)
(gattServices,GattServicesGetter)
(bluetoothAddressType,BluetoothAddressTypeGetter)
(getDeviceSelectorFromAppearance,GetDeviceSelectorFromAppearance)
(getManufacturerDataByCompanyId,GetManufacturerDataByCompanyId)
(getSectionsByType,GetSectionsByType)
(dataSections,DataSectionsGetter)
(manufacturerData,ManufacturerDataGetter)
(serviceUuids,ServiceUuidsGetter)
(bytePatterns,BytePatternsGetter)
(maxOutOfRangeTimeout,MaxOutOfRangeTimeoutGetter)
(maxSamplingInterval,MaxSamplingIntervalGetter)
(minOutOfRangeTimeout,MinOutOfRangeTimeoutGetter)
(minSamplingInterval,MinSamplingIntervalGetter)
(advertisement,AdvertisementGetter)
(advertisementType,AdvertisementTypeGetter)
(rawSignalStrengthInDBm,RawSignalStrengthInDBmGetter)
(advertisingInterval,AdvertisingIntervalGetter)
(completeLocalName,CompleteLocalNameGetter)
(completeService128BitUuids,CompleteService128BitUuidsGetter)
(completeService16BitUuids,CompleteService16BitUuidsGetter)
(completeService32BitUuids,CompleteService32BitUuidsGetter)
(flags,FlagsGetter)
(incompleteService128BitUuids,IncompleteService128BitUuidsGetter)
(incompleteService16BitUuids,IncompleteService16BitUuidsGetter)
(incompleteService32BitUuids,IncompleteService32BitUuidsGetter)
(manufacturerSpecificData,ManufacturerSpecificDataGetter)
(publicTargetAddress,PublicTargetAddressGetter)
(randomTargetAddress,RandomTargetAddressGetter)
(serviceData128BitUuids,ServiceData128BitUuidsGetter)
(serviceData16BitUuids,ServiceData16BitUuidsGetter)
(serviceData32BitUuids,ServiceData32BitUuidsGetter)
(serviceSolicitation128BitUuids,ServiceSolicitation128BitUuidsGetter)
(serviceSolicitation16BitUuids,ServiceSolicitation16BitUuidsGetter)
(serviceSolicitation32BitUuids,ServiceSolicitation32BitUuidsGetter)
(shortenedLocalName,ShortenedLocalNameGetter)
(slaveConnectionIntervalRange,SlaveConnectionIntervalRangeGetter)
